,Order Date,Region,State,Category,Product,Quantity,Unit Price,Revenue
58,2022-02-11,West,Texas,Snacks,Potato Chips,28,227,6356
59,2022-02-18,East,New York,Bars,Bran,110,32,3520
60,2022-02-25,East,New York,Cookies,Oatmeal Raisin,51,598,30498
61,2022-03-04,West,California,Bars,Carrot,52,425,22100
62,2022-03-11,West,California,Crackers,Whole Wheat,28,71,1988
63,2022-03-18,East,Massachusetts,Bars,Carrot,136,385,52360
64,2022-03-25,East,Massachusetts,Crackers,Whole Wheat,42,357,14994
65,2022-04-01,West,Texas,Cookies,Chocolate Chip,75,153,11475
66,2022-04-08,East,New York,Bars,Bran,72,92,6624
67,2022-04-15,East,New York,Cookies,Oatmeal Raisin,56,134,7504
68,2022-04-22,West,California,Bars,Bran,51,640,32640
69,2022-04-29,West,California,Snacks,Potato Chips,31,696,21576
70,2022-05-06,East,Massachusetts,Bars,Bran,56,476,26656
71,2022-05-13,East,Massachusetts,Cookies,Oatmeal Raisin,137,272,37264
72,2022-05-20,West,Texas,Cookies,Chocolate Chip,107,328,35096
73,2022-05-27,East,New York,Bars,Carrot,24,535,12840
74,2022-06-03,East,New York,Crackers,Whole Wheat,30,615,18450
75,2022-06-10,West,California,Cookies,Chocolate Chip,70,259,18130
76,2022-06-17,East,Massachusetts,Cookies,Arrowroot,31,249,7719
77,2022-06-24,East,Massachusetts,Bars,Carrot,109,555,60495
78,2022-07-01,East,Massachusetts,Crackers,Whole Wheat,21,455,9555
79,2022-07-08,West,Texas,Cookies,Chocolate Chip,80,105,8400
80,2022-07-15,East,New York,Bars,Bran,75,306,22950
81,2022-07-22,East,New York,Cookies,Oatmeal Raisin,74,398,29452
82,2022-07-29,West,California,Bars,Carrot,45,178,8010
83,2022-08-05,East,Massachusetts,Cookies,Arrowroot,28,568,15904
84,2022-08-12,East,Massachusetts,Bars,Carrot,143,323,46189
85,2022-08-19,East,Massachusetts,Snacks,Pretzels,27,202,5454
86,2022-08-26,West,Texas,Bars,Carrot,133,190,25270
87,2022-09-02,East,New York,Cookies,Arrowroot,110,605,66550
88,2022-09-09,East,New York,Cookies,Chocolate Chip,65,90,5850
89,2022-09-16,West,California,Bars,Bran,33,231,7623
90,2022-09-23,East,Massachusetts,Cookies,Arrowroot,81,233,18873
91,2022-09-30,East,Massachusetts,Bars,Carrot,77,614,47278
92,2022-10-07,East,Massachusetts,Crackers,Whole Wheat,38,627,23826
93,2022-10-14,West,Texas,Bars,Carrot,40,595,23800
94,2022-10-21,West,Texas,Snacks,Potato Chips,114,194,22116
95,2022-10-28,East,New York,Cookies,Arrowroot,224,506,113344
96,2022-11-04,East,New York,Bars,Carrot,141,144,20304
97,2022-11-11,East,New York,Crackers,Whole Wheat,32,693,22176
98,2022-11-18,West,California,Bars,Carrot,20,156,3120
99,2022-11-25,East,Massachusetts,Cookies,Arrowroot,40,168,6720
100,2022-12-02,East,Massachusetts,Cookies,Chocolate Chip,49,474,23226
101,2022-12-09,East,Massachusetts,Crackers,Whole Wheat,46,433,19918
102,2022-12-16,West,Texas,Bars,Carrot,39,79,3081
103,2022-12-23,West,Texas,Snacks,Potato Chips,62,492,30504
104,2022-12-30,East,New York,Bars,Carrot,90,161,14490
105,2023-01-06,West,California,Cookies,Arrowroot,103,574,59122
106,2023-01-13,West,California,Cookies,Oatmeal Raisin,32,447,14304
107,2023-01-20,East,Massachusetts,Bars,Bran,66,205,13530
108,2023-01-27,East,Massachusetts,Cookies,Oatmeal Raisin,97,178,17266
109,2023-02-03,West,Texas,Bars,Carrot,30,419,12570
110,2023-02-10,West,Texas,Snacks,Potato Chips,29,162,4698
111,2023-02-17,East,New York,Bars,Carrot,92,583,53636
112,2023-02-24,West,California,Cookies,Arrowroot,139,212,29468
113,2023-03-03,West,California,Cookies,Oatmeal Raisin,29,183,5307
114,2023-03-10,East,Massachusetts,Bars,Banana,30,371,11130
115,2023-03-17,East,Massachusetts,Cookies,Chocolate Chip,36,66,2376
116,2023-03-24,East,Massachusetts,Crackers,Whole Wheat,41,634,25994
117,2023-03-31,West,Texas,Bars,Carrot,44,244,10736
118,2023-04-07,West,Texas,Snacks,Potato Chips,29,392,11368
119,2023-04-14,East,New York,Cookies,Arrowroot,237,211,50007
120,2023-04-21,East,New York,Cookies,Chocolate Chip,65,215,13975
121,2023-04-28,West,California,Cookies,Arrowroot,83,657,54531
122,2023-05-05,East,Massachusetts,Cookies,Arrowroot,32,94,3008
123,2023-05-12,East,Massachusetts,Bars,Carrot,63,591,37233
124,2023-05-19,East,Massachusetts,Snacks,Pretzels,29,94,2726
125,2023-05-26,West,Texas,Bars,Bran,77,471,36267
126,2023-06-02,West,Texas,Cookies,Oatmeal Raisin,80,42,3360
127,2023-06-09,East,New York,Bars,Carrot,102,546,55692
128,2023-06-16,East,New York,Crackers,Whole Wheat,31,320,9920
129,2023-06-23,West,California,Bars,Carrot,56,355,19880
130,2023-06-30,East,Massachusetts,Cookies,Arrowroot,52,48,2496
131,2023-07-07,East,Massachusetts,Bars,Carrot,51,262,13362
132,2023-07-14,East,Massachusetts,Snacks,Potato Chips,24,192,4608
133,2023-07-21,West,Texas,Cookies,Arrowroot,58,608,35264
134,2023-07-28,West,Texas,Cookies,Chocolate Chip,34,425,14450
135,2023-08-04,East,New York,Bars,Carrot,34,131,4454
136,2023-08-11,East,New York,Snacks,Potato Chips,21,452,9492
137,2023-08-18,West,California,Cookies,Oatmeal Raisin,29,298,8642
138,2023-08-25,East,Massachusetts,Bars,Carrot,68,363,24684
139,2023-09-01,East,Massachusetts,Snacks,Pretzels,31,323,10013
140,2023-09-08,West,Texas,Cookies,Arrowroot,30,522,15660
141,2023-09-15,West,Texas,Cookies,Chocolate Chip,232,376,87232
142,2023-09-22,East,New York,Bars,Bran,68,447,30396
143,2023-09-29,East,New York,Cookies,Oatmeal Raisin,97,290,28130
144,2023-10-06,West,California,Bars,Bran,86,689,59254
145,2023-10-13,West,California,Snacks,Potato Chips,41,264,10824
146,2023-10-20,East,Massachusetts,Bars,Carrot,93,287,26691
147,2023-10-27,East,Massachusetts,Snacks,Potato Chips,47,315,14805
148,2023-11-03,West,Texas,Bars,Carrot,103,539,55517
149,2023-11-10,West,Texas,Snacks,Potato Chips,33,161,5313
150,2023-11-17,East,New York,Bars,Bran,57,554,31578
151,2023-11-24,East,New York,Cookies,Oatmeal Raisin,65,248,16120
152,2023-12-01,West,California,Bars,Carrot,118,234,27612
153,2023-12-08,East,Massachusetts,Cookies,Arrowroot,36,39,1404
154,2023-12-15,East,Massachusetts,Cookies,Oatmeal Raisin,123,596,73308
155,2023-12-22,West,Texas,Bars,Carrot,90,598,53820
156,2023-12-29,West,Texas,Crackers,Whole Wheat,21,379,7959
157,2024-01-05,East,New York,Bars,Carrot,48,79,3792
158,2024-01-12,East,New York,Snacks,Potato Chips,24,412,9888
159,2024-01-19,West,California,Cookies,Chocolate Chip,67,226,15142
160,2024-01-26,East,Massachusetts,Bars,Bran,27,261,7047
161,2024-02-02,East,Massachusetts,Cookies,Oatmeal Raisin,129,248,31992
162,2024-02-09,West,Texas,Cookies,Arrowroot,77,667,51359
163,2024-02-16,West,Texas,Cookies,Chocolate Chip,58,451,26158
164,2024-02-23,East,New York,Bars,Bran,47,71,3337
165,2024-03-01,East,New York,Cookies,Oatmeal Raisin,33,281,9273
166,2024-03-08,West,California,Cookies,Chocolate Chip,82,584,47888
167,2024-03-15,East,Massachusetts,Bars,Carrot,58,477,27666
168,2024-03-22,East,Massachusetts,Snacks,Pretzels,30,112,3360
169,2024-03-29,West,Texas,Cookies,Chocolate Chip,43,647,27821
170,2024-04-05,East,New York,Bars,Carrot,84,499,41916
171,2024-04-12,West,California,Cookies,Arrowroot,36,347,12492
172,2024-04-19,West,California,Cookies,Oatmeal Raisin,44,558,24552
173,2024-04-26,East,Massachusetts,Bars,Bran,27,655,17685
174,2024-05-03,East,Massachusetts,Cookies,Oatmeal Raisin,120,488,58560
175,2024-05-10,East,Massachusetts,Crackers,Whole Wheat,26,295,7670
176,2024-05-17,West,Texas,Bars,Carrot,73,182,13286
177,2024-05-24,East,New York,Bars,Bran,38,650,24700
178,2024-05-31,East,New York,Cookies,Oatmeal Raisin,40,35,1400
179,2024-06-07,West,California,Bars,Carrot,41,425,17425
180,2024-06-14,East,Massachusetts,Bars,Banana,27,556,15012
181,2024-06-21,East,Massachusetts,Cookies,Chocolate Chip,38,628,23864
182,2024-06-28,East,Massachusetts,Crackers,Whole Wheat,34,544,18496
183,2024-07-05,West,Texas,Bars,Bran,65,66,4290
184,2024-07-12,West,Texas,Cookies,Oatmeal Raisin,60,588,35280
185,2024-07-19,East,New York,Cookies,Arrowroot,37,517,19129
186,2024-07-26,East,New York,Cookies,Chocolate Chip,40,607,24280
187,2024-08-02,West,California,Bars,Bran,26,67,1742
188,2024-08-09,East,Massachusetts,Bars,Banana,22,431,9482
189,2024-08-16,East,Massachusetts,Cookies,Chocolate Chip,32,223,7136
190,2024-08-23,East,Massachusetts,Crackers,Whole Wheat,23,149,3427
191,2024-08-30,West,Texas,Cookies,Arrowroot,20,403,8060
192,2024-09-06,West,Texas,Cookies,Chocolate Chip,64,624,39936
193,2024-09-13,East,New York,Bars,Carrot,71,533,37843
194,2024-09-20,West,California,Cookies,Arrowroot,90,157,14130
195,2024-09-27,West,California,Cookies,Oatmeal Raisin,38,324,12312
196,2024-10-04,East,Massachusetts,Bars,Carrot,55,546,30030
197,2024-10-11,East,Massachusetts,Snacks,Pretzels,22,185,4070
198,2024-10-18,West,Texas,Bars,Carrot,34,546,18564
199,2024-10-25,East,New York,Bars,Bran,39,671,26169
200,2024-11-01,East,New York,Cookies,Oatmeal Raisin,41,384,15744
201,2024-11-08,West,California,Bars,Carrot,41,222,9102
202,2024-11-15,East,Massachusetts,Cookies,Arrowroot,136,271,36856
203,2024-11-22,East,Massachusetts,Bars,Carrot,25,256,6400
204,2024-11-29,East,Massachusetts,Snacks,Pretzels,26,323,8398
205,2024-12-06,West,Texas,Bars,Bran,50,498,24900
206,2024-12-13,West,Texas,Cookies,Oatmeal Raisin,79,348,27492
207,2024-12-20,East,New York,Bars,Carrot,30,132,3960
208,2024-12-27,East,New York,Snacks,Potato Chips,20,597,11940
209,2025-01-03,West,California,Bars,Carrot,49,685,33565
210,2025-01-10,East,Massachusetts,Cookies,Arrowroot,40,344,13760
211,2025-01-17,East,Massachusetts,Bars,Carrot,31,124,3844
212,2025-01-24,East,Massachusetts,Snacks,Pretzels,21,622,13062
213,2025-01-31,West,Texas,Bars,Bran,43,237,10191
214,2025-02-07,West,Texas,Cookies,Oatmeal Raisin,47,696,32712
215,2025-02-14,East,New York,Cookies,Arrowroot,175,63,11025
216,2025-02-21,East,New York,Cookies,Chocolate Chip,23,646,14858
217,2025-02-28,West,California,Bars,Carrot,40,280,11200
218,2025-03-07,East,Massachusetts,Cookies,Arrowroot,87,30,2610
219,2025-03-14,East,Massachusetts,Bars,Carrot,43,150,6450
220,2025-03-21,East,Massachusetts,Crackers,Whole Wheat,30,255,7650
221,2025-03-28,West,Texas,Bars,Carrot,35,275,9625
222,2025-04-04,East,New York,Bars,Bran,57,627,35739
223,2025-04-11,East,New York,Snacks,Potato Chips,25,501,12525
224,2025-04-18,West,California,Cookies,Chocolate Chip,24,107,2568
225,2025-04-25,East,Massachusetts,Bars,Bran,83,672,55776
226,2025-05-02,East,Massachusetts,Cookies,Oatmeal Raisin,124,419,51956
227,2025-05-09,West,Texas,Bars,Carrot,137,621,85077
228,2025-05-16,East,New York,Cookies,Arrowroot,146,431,62926
229,2025-05-23,East,New York,Cookies,Chocolate Chip,34,359,12206
230,2025-05-30,West,California,Bars,Carrot,20,319,6380
231,2025-06-06,East,Massachusetts,Cookies,Arrowroot,139,604,83956
232,2025-06-13,East,Massachusetts,Cookies,Chocolate Chip,211,576,121536
233,2025-06-20,East,Massachusetts,Crackers,Whole Wheat,20,143,2860
234,2025-06-27,West,Texas,Bars,Bran,42,215,9030
235,2025-07-04,West,Texas,Cookies,Oatmeal Raisin,100,482,48200
236,2025-07-11,East,New York,Bars,Carrot,38,561,21318
237,2025-07-18,East,New York,Crackers,Whole Wheat,25,426,10650
238,2025-07-25,West,California,Cookies,Chocolate Chip,96,567,54432
239,2025-08-01,East,Massachusetts,Cookies,Arrowroot,34,469,15946
240,2025-08-08,East,Massachusetts,Cookies,Chocolate Chip,245,401,98245
241,2025-08-15,East,Massachusetts,Crackers,Whole Wheat,30,640,19200
242,2025-08-22,West,Texas,Bars,Bran,30,621,18630
243,2025-08-29,West,Texas,Cookies,Oatmeal Raisin,44,641,28204
